work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,covid_mean_cases
2022,SE,FT,Data Scientist,95550,US,0,US,M,158462
2022,MI,FT,Data Analyst,167000,US,100,US,M,158462
2022,MI,FT,Data Analyst,115500,US,100,US,M,158462
2022,SE,FT,Data Analyst,112900,US,100,US,M,158462
2022,SE,FT,Data Analyst,90320,US,100,US,M,158462
2022,SE,FT,Data Analyst,112900,US,100,US,M,158462
2022,SE,FT,Data Analyst,90320,US,100,US,M,158462
2022,SE,FT,Data Engineer,165400,US,100,US,M,158462
2022,SE,FT,Data Engineer,132320,US,100,US,M,158462
2022,SE,FT,Data Engineer,243900,US,100,US,M,158462
2022,SE,FT,Data Engineer,156600,US,100,US,M,158462
2022,SE,FT,Data Analyst,136600,US,100,US,M,158462
2022,SE,FT,Data Analyst,109280,US,100,US,M,158462
2022,SE,FT,Data Engineer,128875,US,100,US,M,158462
2022,SE,FT,Data Engineer,93700,US,100,US,M,158462
2022,EX,FT,Head of Data Science,224000,US,100,US,M,158462
2022,EX,FT,Head of Data Science,167875,US,100,US,M,158462
2022,EX,FT,Analytics Engineer,175000,US,100,US,M,158462
2022,EX,FT,Analytics Engineer,135000,US,100,US,M,158462
2022,SE,FT,Data Engineer,209100,US,100,US,L,158462
2022,SE,FT,Data Engineer,154600,US,100,US,L,158462
2022,SE,FT,Data Engineer,180000,US,100,US,M,158462
2022,SE,FT,Data Engineer,160000,US,100,US,M,158462
2022,SE,FT,Data Scientist,205300,US,0,US,L,158462
2022,SE,FT,Data Scientist,140400,US,0,US,L,158462
2022,SE,FT,Data Scientist,176000,US,100,US,M,158462
2022,SE,FT,Data Scientist,144000,US,100,US,M,158462
2022,SE,FT,Data Engineer,200100,US,100,US,M,158462
2022,SE,FT,Data Engineer,160000,US,100,US,M,158462
2022,SE,FT,Data Engineer,70500,US,0,US,M,158462
2022,SE,FT,Data Engineer,54000,US,0,US,M,158462
2022,SE,FT,Data Scientist,205300,US,0,US,M,158462
2022,SE,FT,Data Scientist,140400,US,0,US,M,158462
2022,SE,FT,Analytics Engineer,205300,US,0,US,M,158462
2022,SE,FT,Analytics Engineer,184700,US,0,US,M,158462
2022,SE,FT,Data Engineer,175100,US,100,US,M,158462
2022,SE,FT,Data Engineer,140250,US,100,US,M,158462
2022,SE,FT,Data Analyst,116150,US,100,US,M,158462
2022,SE,FT,Data Analyst,99050,US,100,US,M,158462
